method	category	language	main_packages	input	output	status	tags	path
tradeSeq trajectory-associated testing	Single-cell	r	BiocParallel;Matrix;Seurat;qs2;readr;tradeSeq	The Seurat object must contain raw counts and metadata columns containing pseudotime and cell weights.	output_fit=output/tradeseq_fit.qs2; output_results=output/tradeseq_start_end.tsv	draft	single-cell;r;trajectory	templates/single_cell/tradeseq.qmd
scVelo RNA velocity	Single-cell	python	anndata;matplotlib;scanpy;scvelo	The input must have observations as cells, variables as genes, unique identifiers, spliced and unspliced layers, and a usable representation.	output_path=output/scvelo_output.h5ad; figure_path=output/velocity_stream.png	draft	single-cell;python;rna;scvelo;velocity	templates/single_cell/scvelo.qmd
CellRank velocity-kernel fate inference	Single-cell	python	anndata;matplotlib;numpy;pandas	The input must contain scVelo velocity information, a neighbor graph, an embedding, and a cluster column.	output_path=output/cellrank_output.h5ad; figure_dir=output/cellrank_figures	draft	single-cell;python;cellrank;velocity	templates/single_cell/cellrank.qmd
Python decoupler ULM activity inference	Single-cell	python	anndata;decoupler;pandas	AnnData observations are cells and variables are genes. The network must have source, target, and weight columns. The selected expression layer must contain normalized expression or a justified contrast statistic.	output_path=output/decoupler_output.h5ad	draft	single-cell;python;decoupler;pathway	templates/single_cell/decoupler.qmd
hdWGCNA co-expression modules	Single-cell	r	Seurat;ggplot2;hdWGCNA;patchwork;qs2;readr	The object must contain an expression assay, a reduction for metacell construction, a sample column, and a biological grouping column.	output_object=output/seurat_object_hdwgcna.qs2; output_modules=output/hdwgcna_modules.tsv; output_hubs=output/hdwgcna_hub_genes.tsv; output_power=output/hdwgcna_power_table.tsv; output_power_plot=output/hdwgcna_soft_powers.png; output_kme_plot=output/hdwgcna_kme.png	draft	single-cell;r	templates/single_cell/hdwgcna.qmd
scCellFie metabolic activity	Single-cell	python	anndata;sccellfie	The input must contain the count column, batch column, neighbor graph, and grouping column named below.	output_path=output/sccellfie_output.h5ad; summary_dir=output/sccellfie_summary	draft	single-cell;python;metabolic	templates/single_cell/sccellfie.qmd
tximport to edgeR	Bulk RNA	r	dplyr;edgeR;qs2;readr;tibble	The supported input is one `tximport` R object persisted as qs2. It should contain a gene-level `counts` matrix and the usual tximport sample columns. Sample metadata is a TSV with one row per sample and a unique `sample_id` column. A gene annotation TSV is optional and must contain a unique `gene_id` column when supplied.	- `dge_imported.qs2`: the gene-level edgeR `DGEList` before QC filtering and normalization; - `imported_library_sizes.tsv`: sample names, edgeR library sizes, normalized factors, and non-conflicting metadata columns.	draft	bulk-rna;r;edger	templates/bulk_rna/tximport_edger.qmd
Bulk RNA QC and normalization	Bulk RNA	r	dplyr;edgeR;qs2;readr;stats;tibble	The input is a qs2-persisted edgeR `DGEList`, normally produced by `tximport_edger.qmd`. Its counts must still be raw count-scale values. Metadata may be attached in `dge$samples`; the first column is expected to remain the edgeR library-size column and the row names must be sample IDs.	output_dge=output/objects/dge_qc_normalized.qs2; output_table_dir=output/tables	draft	bulk-rna;r;normalization;qc;rna	templates/bulk_rna/qc_normalization_edger.qmd
Differential expression with edgeR	Bulk RNA	r	dplyr;edgeR;qs2;readr;stats;tibble	input_dge=output/objects/dge_qc_normalized.qs2; metadata_path=input/sample_metadata.tsv	The main output is a gene-level TSV containing the edgeR quasi-likelihood results and an explicit reporting flag. The fitted objects are kept visible in the notebook for inspection; persistence of a fitted model is optional and should be added only when it is useful for a real analysis.	draft	bulk-rna;r;edger	templates/bulk_rna/differential_expression_edger.qmd
Ranked gene-set enrichment	Bulk RNA	r	clusterProfiler;dplyr;org.Hs.eg.db;readr	The ranking table must contain one gene identifier column and one signed numeric statistic column. This template maps `SYMBOL` or `ENSEMBL` identifiers to Entrez IDs with `clusterProfiler::bitr()`; an `ENTREZID` input can be used directly. The annotation database and organism must match the input species.	The ranked list and enrichment result tables are exported as TSV. GO simplification is a redundancy-reduction step for GO terms; it does not change the original GSEA question. KEGG results are kept separate because KEGG does not use the GO semantic hierarchy.	draft	bulk-rna;r;gsea	templates/bulk_rna/gsea.qmd
Sample-level signature scoring with singscore	Bulk RNA	r	dplyr;readr;singscore;tibble	Use an expression matrix with genes in rows and samples in columns. The matrix should be a comparable expression representation such as logCPM, logTPM, or another declared normalized scale. The signature TSV must contain `gene_id` and `direction`, with directions `UP` and `DOWN`.	The score TSV retains `TotalScore`, `UpScore`, `DownScore`, and the associated dispersion columns returned by singscore. Preserve these components before any optional downstream standardization or group comparison.	draft	bulk-rna;r;signatures	templates/bulk_rna/singscore.qmd
Sample-level gene-set activity with GSVA	Bulk RNA	r	GSVA;SummarizedExperiment;dplyr;readr;tibble	The expression table must have genes in rows, samples in columns, and a first column containing unique gene IDs. The gene-set table must contain `set_id` and `gene_id`. Use a continuous normalized expression representation for the default Gaussian kernel; do not pass arbitrary z-score or count transforms without deciding whether the selected kernel is appropriate.	`gsva_scores.tsv` contains one row per gene set and one column per sample. `gsva_gene_set_coverage.tsv` records requested and measured genes before GSVA filters gene sets by the declared minimum size.	draft	bulk-rna;r;gsva	templates/bulk_rna/gsva.qmd
Create a Signac scATAC object	scATAC	r	Seurat;Signac;qs2;readr;tibble	This template deliberately supports one input contract: a qs2-saved R matrix with peaks in rows and cells in columns, plus a metadata TSV with a `cell_id` column. It does not try to discover every 10x, Cell Ranger, or count-file layout.	output_object=output/scatac_created.qs2	draft	scatac;r;atac	templates/scatac/create_object.qmd
Fragment-aware scATAC quality control	scATAC	r	Seurat;Signac;dplyr;ggplot2;qs2;readr;tibble	The metrics TSV should contain `cell_id`, `passed_filters`, `peak_region_fragments`, and `blacklist_region_fragments`. The latter two are used to calculate FRiP and blacklist ratio when those columns are not already present.	output_object=output/scatac_qc_filtered.qs2; sample_summary_path=output/scatac_qc_by_sample.tsv; figure_path=output/scatac_qc_distributions.pdf	draft	scatac;r;atac;qc	templates/scatac/qc.qmd
TF-IDF, LSI, and clustering	scATAC	r	Seurat;Signac;dplyr;qs2;readr;tibble		output_object=output/scatac_lsi_clusters.qs2; lsi_figure=output/scatac_lsi_depth_correlation.pdf	draft	scatac;r;clustering	templates/scatac/lsi_clustering.qmd
Motif enrichment with FindMotifs	scATAC	r	BSgenome.Hsapiens.UCSC.hg38;JASPAR2024;RSQLite;Seurat;Signac;TFBSTools;qs2;readr;tibble	input_object=input/scatac_lsi_clusters.qs2; foreground_path=input/foreground_peaks.tsv; background_path=input/background_peaks.tsv; motif_table_path=output/scatac_findmotifs.tsv; motif_figure_path=output/scatac_motif_plot.pdf	output_object=output/scatac_motifs.qs2; motif_figure_path=output/scatac_motif_plot.pdf	draft	scatac;r;motifs	templates/scatac/motif_enrichment_findmotifs.qmd
chromVAR motif deviations	scATAC	r	Seurat;Signac;chromVAR;qs2;readr;tibble		`deviationScores()` returns motif-by-cell deviation z-scores; the bias-corrected deviations are available with `chromVAR::deviations()`. Check that motif IDs, peak IDs, cell IDs, genome build, and GC-bias/background calculations are compatible. A motif deviation score is not proof of TF binding or causal regulation.	draft	scatac;r;chromvar;motifs	templates/scatac/chromvar.qmd
Create a paired RNA/ATAC object	Multiome	r	Seurat;SeuratObject;Signac;qs2;readr;tibble	The supported contract is one qs2 R matrix for RNA, one qs2 R matrix for ATAC peaks, a metadata TSV with `cell_id`, a tabix-indexed fragments file, and a qs2 gene-annotation object. Both matrices are feature-by-cell.	output_object=output/multiome_created.qs2	draft	multiome;r;atac;rna	templates/multiome/create_object.qmd
Paired RNA/ATAC weighted nearest neighbors	Multiome	r	Seurat;Signac;dplyr;qs2;readr;tibble		output_object=output/multiome_wnn.qs2	draft	multiome;r;atac;rna	templates/multiome/wnn.qmd
RNA–ATAC peak–gene linkage	Multiome	r	Seurat;Signac;qs2;readr;tibble		output_object=output/multiome_rna_atac_links.qs2; coverage_figure=output/multiome_coverage_links.pdf	draft	multiome;r;atac;rna	templates/multiome/rna_atac_linkage.qmd
RNA-to-ATAC label transfer	Multiome	r	Seurat;SeuratObject;Signac;qs2;readr;tibble		output_query_object=output/atac_query_label_transferred.qs2	draft	multiome;r;atac;rna	templates/multiome/rna_to_atac_label_transfer.qmd
Prepare MOFA2 views	Multi-omics / MOFA	r	qs2;readr;stats	The input `.qs2` file must contain a named list. Each element is a matrix with features in rows and biologically meaningful sample IDs in columns. The matrices must already be prepared at a modality-appropriate scale, or the explicit per-view transformation must be added beside the corresponding input before the checks below. This page does not guess transformations from view names.	The saved object is a named list of numeric feature-by-sample matrices with a common, explicitly checked sample order. The manifests account for sample matching and feature filtering. Internal `NA` values are preserved; no imputation or NA-to-zero conversion is performed here.	draft	mofa;r	templates/multiomics/mofa/prepare_views.qmd
Fit a MOFA2 model	Multi-omics / MOFA	r	MOFA2;qs2;readr;stats	prepared_views_path=output/mofa/prepared_views.qs2	The output is a trained MOFA2 model in native HDF5 format. The prepared views remain the `.qs2` input, while concise model/training option manifests are TSV. The requested number of factors is an initial unsupervised choice; inactive or redundant factors and explained variance must be reviewed in `diagnostics.qmd` before interpretation.	draft	mofa;r	templates/multiomics/mofa/fit.qmd
MOFA2 diagnostics	Multi-omics / MOFA	r	MOFA2;readr;stats;tibble	model_path=output/mofa/mofa_model.hdf5; metadata_sample_column=sample_id	This page consumes `mofa_model.hdf5` and exports variance-explained tables, factor scores, factor correlations and a compact high-weight diagnostic. It does not refit or rewrite the model. Technical association TSV output is created only when numeric metadata columns are explicitly supplied.	draft	mofa;r	templates/multiomics/mofa/diagnostics.qmd
Interpret a MOFA2 model	Multi-omics / MOFA	r	MOFA2;readr;stats	model_path=output/mofa/mofa_model.hdf5; metadata_sample_column=sample_id	This page consumes `mofa_model.hdf5` and exports tidy factor scores, signed feature weights, absolute-weight top-feature tables, and optional metadata associations/group summaries. It does not refit the model and does not recreate signature scoring, pathway enrichment, motif analysis or TF-activity workflows.	draft	mofa;r	templates/multiomics/mofa/interpretation.qmd
Binary classification with brglm2	Biomarker machine learning	r	brglm2;bundle;desirability2;dplyr;filtro;forcats;ggplot2;hardhat;important;parsnip;qs2;readr;recipes;rsample;sessioninfo;stats;tailor;tibble;tidymodels;tidyr;tidyselect;tidyverse;tune;workflows;yardstick	The expression file is a wide CSV with one feature identifier column and one sample per remaining column. The split and signature files are TSV files. The split file must contain one row per sample and the columns named below.	output_model=output/models/biomarker_brglm2_fit_bundle.qs2; output_reduced_model=output/models/biomarker_brglm2_reduced_fit_bundle.qs2; output_table_dir=output/tables; output_figure_dir=output/figures	draft	biomarker-ml;r;biomarker;markers	templates/machine_learning/biomarkers/binary_classification_brglm2.qmd
Frozen model reporting	Biomarker machine learning	r	ComplexHeatmap;circlize;dplyr;ggplot2;gt;gtExtras;readr;scales;stats;tidyverse	The complete and essential TSVs are written by `binary_classification_brglm2.qmd`. The essential table contains the sample, split, truth, prediction, probability, threshold, and selected feature columns. The complete table may additionally contain metadata.	output_table_dir=output/tables; output_figure_dir=output/figures	draft	biomarker-ml;r	templates/machine_learning/biomarkers/model_reporting.qmd
